,id,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,land_slope,neighborhood,condition_1,bldg_type,house_style,overall_qual,year_built,roof_style,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,garage_cond,wood_deck_sf,saleprice,exterior,porch,remodelled,pool
24,2339.0,rl,100.0,34650.0,0,bnk,inside,gtl,gilbert,norm,2fmcon,1story,5.0,1955.0,hip,none,0.0,3,cblock,3,2,rec,1056.0,unf,0.0,1056.0,3,1056.0,0.0,1056.0,1.0,1.0,0.0,3,5.0,typ,0.0,0,attchd,fin,572.0,ta,264.0,145000.0,wood,0,0.0,0
25,624.0,rl,92.0,10573.0,1,lvl,corner,gtl,names,norm,1fam,1story,6.0,1961.0,hip,brkface,3.0,3,cblock,3,1,rec,1312.0,unf,141.0,1453.0,5,1453.0,0.0,1453.0,1.0,2.0,0.0,3,6.0,typ,1.0,3,attchd,rfn,530.0,ta,0.0,187500.0,metal,1,0.0,0
26,86.0,rl,65.0,8450.0,0,lvl,inside,gtl,sawyer,rrae,1fam,1story,5.0,1965.0,gable,none,0.0,3,cblock,3,1,glq,553.0,blq,224.0,894.0,5,894.0,0.0,894.0,1.0,1.0,0.0,3,5.0,typ,1.0,4,detchd,unf,336.0,ta,416.0,138500.0,metal,1,1.0,0
27,1534.0,rl,64.0,11700.0,1,hls,inside,mod,crawfor,norm,1fam,1.5fin,5.0,1937.0,gable,none,0.0,3,cblock,3,1,blq,606.0,unf,336.0,942.0,5,1265.0,673.0,1938.0,0.0,2.0,0.0,4,7.0,min2,1.0,4,detchd,unf,240.0,ta,0.0,198000.0,wood,1,1.0,0
28,2243.0,c (all),75.0,8250.0,0,lvl,inside,gtl,idotrr,feedr,2fmcon,2story,5.0,1895.0,gable,none,0.0,3,cblock,3,1,unf,0.0,unf,957.0,957.0,2,1034.0,957.0,1991.0,0.0,2.0,0.0,3,9.0,typ,0.0,0,none,none,0.0,none,0.0,119600.0,vinyl,0,1.0,0
29,1957.0,rl,60.0,8064.0,0,lvl,corner,gtl,names,artery,1fam,1.5fin,5.0,1949.0,gable,none,0.0,3,cblock,3,2,unf,0.0,unf,672.0,672.0,5,672.0,252.0,924.0,0.0,1.0,0.0,3,6.0,typ,1.0,1,detchd,unf,576.0,ta,0.0,122900.0,metal,0,1.0,0
30,380.0,rl,80.0,9600.0,0,lvl,inside,gtl,nwames,posn,1fam,1story,8.0,1981.0,hip,none,0.0,4,pconc,4,1,alq,1104.0,unf,1420.0,2524.0,3,2524.0,0.0,2524.0,1.0,2.0,1.0,4,9.0,typ,1.0,4,attchd,fin,542.0,ta,474.0,278000.0,brick,1,0.0,0
31,2860.0,rl,64.0,11435.0,1,hls,corner,mod,crawfor,norm,1fam,2story,8.0,1929.0,gable,none,0.0,3,pconc,4,1,unf,0.0,unf,792.0,792.0,2,792.0,725.0,1517.0,0.0,1.0,0.0,4,7.0,typ,2.0,4,detchd,unf,400.0,ta,0.0,230000.0,brick,0,1.0,0
32,2517.0,rl,30.0,9549.0,1,lvl,culdsac,gtl,veenker,norm,twnhse,1story,8.0,1995.0,hip,none,0.0,4,pconc,4,3,lwq,437.0,glq,0.0,1494.0,5,1494.0,0.0,1494.0,1.0,1.0,1.0,5,6.0,typ,1.0,4,attchd,fin,481.0,ta,0.0,270000.0,brick,1,1.0,0
33,1933.0,rl,60.0,10950.0,0,lvl,inside,gtl,names,norm,1fam,1story,6.0,1952.0,hip,none,0.0,3,cblock,3,1,alq,441.0,unf,507.0,948.0,3,948.0,0.0,948.0,0.0,1.0,0.0,3,5.0,typ,0.0,0,detchd,unf,410.0,ta,0.0,125000.0,wood,1,0.0,0
34,820.0,rl,79.0,10637.0,0,lvl,inside,gtl,collgcr,norm,1fam,1story,8.0,2007.0,hip,stone,336.0,4,pconc,5,4,glq,1288.0,unf,417.0,1705.0,5,1718.0,0.0,1718.0,1.0,2.0,0.0,4,7.0,typ,1.0,4,attchd,rfn,826.0,ta,208.0,297000.0,vinyl,1,1.0,0
35,675.0,rl,80.0,9000.0,1,hls,inside,mod,names,norm,1fam,1story,6.0,1958.0,flat,brkface,82.0,3,cblock,4,4,unf,0.0,unf,160.0,160.0,2,1142.0,0.0,1142.0,0.0,1.0,0.0,3,5.0,typ,1.0,4,basment,rfn,384.0,ta,0.0,113500.0,wood,1,0.0,0
36,2910.0,rm,41.0,2665.0,0,lvl,inside,gtl,meadowv,norm,twnhse,2story,5.0,1977.0,gable,none,0.0,3,pconc,3,1,alq,548.0,rec,36.0,757.0,5,925.0,550.0,1475.0,0.0,2.0,0.0,3,6.0,typ,1.0,3,attchd,rfn,336.0,ta,104.0,127000.0,aggregate,1,0.0,0
37,21.0,rl,105.0,11751.0,1,lvl,inside,gtl,nwames,norm,1fam,1story,6.0,1977.0,hip,brkface,480.0,3,cblock,4,1,blq,705.0,unf,1139.0,1844.0,5,1844.0,0.0,1844.0,0.0,2.0,0.0,3,7.0,typ,1.0,3,attchd,rfn,546.0,ta,0.0,190000.0,wood,1,0.0,0
38,1873.0,rl,80.0,9600.0,0,lvl,inside,gtl,nwames,norm,1fam,1story,7.0,1973.0,hip,brkface,320.0,3,cblock,3,1,alq,916.0,unf,326.0,1242.0,2,1242.0,0.0,1242.0,0.0,1.0,1.0,3,6.0,typ,1.0,3,attchd,unf,528.0,ta,0.0,175500.0,wood,0,0.0,0
39,2125.0,rl,60.0,8428.0,2,lvl,inside,gtl,collgcr,norm,1fam,1story,5.0,1994.0,gable,none,0.0,3,pconc,4,1,glq,420.0,unf,570.0,990.0,5,990.0,0.0,990.0,1.0,1.0,0.0,3,5.0,typ,0.0,0,detchd,unf,384.0,ta,256.0,146000.0,vinyl,0,0.0,0
40,1489.0,rl,75.0,9937.0,0,lvl,inside,gtl,edwards,norm,1fam,1story,5.0,1965.0,gable,none,0.0,4,cblock,3,1,blq,830.0,lwq,136.0,1256.0,4,1256.0,0.0,1256.0,1.0,1.0,1.0,3,6.0,typ,0.0,0,attchd,fin,276.0,ta,736.0,147500.0,wood,1,0.0,0
41,2383.0,rl,107.0,13891.0,0,lvl,inside,gtl,nridght,norm,1fam,1story,10.0,2006.0,gable,none,0.0,5,pconc,5,4,glq,1386.0,unf,690.0,2076.0,5,2076.0,0.0,2076.0,1.0,2.0,1.0,5,7.0,typ,1.0,4,attchd,fin,850.0,ta,216.0,465000.0,vinyl,1,0.0,0
42,983.0,rl,74.0,9101.0,1,lvl,corner,gtl,mitchel,norm,1fam,sfoyer,5.0,1978.0,gable,brkface,104.0,3,pconc,4,3,glq,1097.0,unf,0.0,1097.0,5,1110.0,0.0,1110.0,1.0,1.0,0.0,4,4.0,typ,1.0,3,attchd,fin,602.0,ta,303.0,165500.0,wood,1,0.0,0
43,1325.0,rm,81.0,12150.0,0,lvl,inside,gtl,oldtown,norm,1fam,1.5fin,5.0,1954.0,gable,brkface,335.0,3,brktil,3,1,unf,0.0,unf,1050.0,1050.0,5,1050.0,745.0,1795.0,0.0,2.0,0.0,3,7.0,typ,0.0,0,attchd,unf,352.0,ta,0.0,131500.0,metal,0,0.0,0
44,1378.0,rl,70.0,11200.0,0,lvl,inside,gtl,sawyer,norm,1fam,1story,5.0,1965.0,hip,none,0.0,3,cblock,3,1,rec,906.0,unf,134.0,1040.0,5,1040.0,0.0,1040.0,1.0,1.0,0.0,3,5.0,typ,0.0,0,detchd,unf,384.0,ta,0.0,129500.0,wood,0,0.0,0
45,1537.0,rl,100.0,9670.0,1,hls,inside,mod,crawfor,norm,1fam,2story,8.0,1935.0,gable,stone,40.0,3,pconc,3,1,lwq,210.0,unf,398.0,608.0,3,983.0,890.0,1873.0,0.0,1.0,1.0,3,9.0,typ,2.0,4,detchd,fin,786.0,ta,0.0,257076.0,brick,0,1.0,0
46,905.0,rl,60.0,10998.0,0,lvl,inside,gtl,edwards,norm,1fam,1.5fin,5.0,1941.0,gable,none,0.0,3,cblock,3,1,lwq,408.0,blq,156.0,984.0,5,984.0,620.0,1604.0,0.0,2.0,0.0,3,6.0,min2,0.0,0,detchd,unf,660.0,ta,0.0,117000.0,wood,1,1.0,0
47,1532.0,rl,60.0,7200.0,0,hls,inside,mod,crawfor,norm,1fam,2story,7.0,1931.0,gable,none,0.0,3,brktil,4,1,unf,0.0,unf,776.0,776.0,3,851.0,651.0,1502.0,0.0,1.0,1.0,3,6.0,typ,1.0,4,attchd,rfn,270.0,ta,0.0,149000.0,aggregate,0,1.0,0
48,132.0,rl,80.0,9920.0,0,lvl,inside,gtl,names,norm,1fam,1story,5.0,1954.0,gable,stone,110.0,3,cblock,3,1,rec,354.0,lwq,412.0,1056.0,3,1063.0,0.0,1063.0,1.0,1.0,0.0,3,6.0,typ,0.0,0,attchd,rfn,280.0,ta,0.0,128000.0,wood,0,0.0,0
49,1078.0,rl,36.0,2448.0,0,lvl,inside,gtl,nridght,norm,twnhs,2story,7.0,2003.0,gable,stone,106.0,4,pconc,4,1,unf,0.0,unf,764.0,764.0,5,764.0,862.0,1626.0,0.0,2.0,1.0,4,6.0,typ,0.0,0,builtin,rfn,474.0,ta,0.0,155000.0,vinyl,1,1.0,0
50,2511.0,fv,73.0,2998.0,0,lvl,inside,gtl,somerst,norm,twnhse,2story,6.0,2000.0,gable,brkface,513.0,4,pconc,4,1,glq,353.0,unf,403.0,756.0,5,768.0,756.0,1524.0,0.0,2.0,1.0,4,4.0,typ,0.0,0,detchd,unf,440.0,ta,0.0,166000.0,metal,1,0.0,0
51,912.0,rl,65.0,7804.0,0,lvl,inside,gtl,swisu,norm,1fam,1.5fin,4.0,1928.0,gable,none,0.0,3,brktil,3,1,blq,622.0,unf,500.0,1122.0,3,1328.0,653.0,1981.0,1.0,2.0,0.0,4,7.0,min2,2.0,3,detchd,unf,576.0,ta,431.0,135000.0,wood,1,1.0,0
52,2351.0,rl,80.0,16692.0,1,lvl,inside,gtl,nwames,rran,1fam,2story,7.0,1978.0,gable,brkface,184.0,3,cblock,4,1,blq,790.0,lwq,133.0,1392.0,3,1392.0,1392.0,2784.0,1.0,3.0,1.0,4,12.0,typ,2.0,3,attchd,rfn,564.0,ta,0.0,250000.0,wood,1,0.0,1
53,330.0,rm,21.0,1476.0,0,lvl,inside,gtl,meadowv,norm,twnhs,2story,4.0,1970.0,gable,none,0.0,3,cblock,3,1,glq,176.0,unf,370.0,546.0,5,546.0,546.0,1092.0,0.0,1.0,1.0,3,5.0,typ,0.0,0,none,none,0.0,none,200.0,76000.0,aggregate,1,0.0,0
54,2586.0,rl,75.0,10170.0,0,lvl,corner,gtl,names,norm,1fam,1story,6.0,1951.0,hip,brkface,522.0,3,cblock,3,1,unf,0.0,unf,216.0,216.0,3,1575.0,0.0,1575.0,0.0,1.0,1.0,4,5.0,typ,1.0,4,attchd,unf,400.0,ta,0.0,155000.0,wood,0,0.0,0
55,224.0,rl,80.0,9364.0,0,lvl,corner,gtl,sawyer,norm,1fam,2story,6.0,1969.0,gable,stone,143.0,3,cblock,3,1,alq,371.0,unf,292.0,663.0,3,663.0,689.0,1352.0,0.0,1.0,1.0,3,7.0,typ,0.0,0,attchd,fin,299.0,ta,379.0,158000.0,wood,1,0.0,0
56,98.0,fv,24.0,2544.0,0,lvl,inside,gtl,somerst,norm,twnhs,2story,7.0,2004.0,gable,none,0.0,4,pconc,4,1,glq,368.0,alq,190.0,600.0,5,600.0,600.0,1200.0,1.0,2.0,1.0,4,4.0,typ,0.0,0,detchd,rfn,480.0,ta,0.0,149500.0,metal,1,1.0,0
57,2565.0,rl,82.0,9888.0,0,lvl,inside,gtl,names,norm,1fam,1story,5.0,1954.0,gable,none,0.0,3,cblock,3,1,blq,486.0,unf,450.0,936.0,3,936.0,0.0,936.0,0.0,1.0,0.0,3,5.0,typ,0.0,0,attchd,unf,240.0,ta,0.0,121000.0,metal,0,1.0,0
58,1934.0,rl,68.0,7942.0,0,lvl,inside,gtl,names,norm,1fam,1story,6.0,1953.0,hip,none,0.0,3,cblock,3,1,rec,85.0,alq,0.0,1040.0,3,1040.0,0.0,1040.0,0.0,1.0,0.0,3,6.0,typ,0.0,0,attchd,fin,293.0,ta,0.0,136000.0,wood,0,0.0,0
59,997.0,rl,63.0,15038.0,2,lvl,corner,gtl,gilbert,norm,1fam,2story,6.0,1996.0,gable,none,0.0,3,pconc,4,1,rec,138.0,unf,778.0,916.0,4,916.0,720.0,1636.0,0.0,2.0,1.0,3,7.0,typ,1.0,3,attchd,fin,386.0,ta,168.0,173000.0,wood,1,0.0,0
60,64.0,rl,92.0,11764.0,1,lvl,culdsac,gtl,noridge,norm,1fam,2story,8.0,1999.0,gable,brkface,348.0,4,pconc,4,1,glq,524.0,unf,628.0,1152.0,5,1164.0,1106.0,2270.0,0.0,2.0,1.0,4,9.0,typ,1.0,4,attchd,fin,671.0,ta,132.0,290000.0,vinyl,1,1.0,0
61,1799.0,fv,75.0,9000.0,0,lvl,inside,gtl,somerst,norm,1fam,2story,8.0,2007.0,gable,none,0.0,4,pconc,4,3,glq,64.0,unf,1120.0,1184.0,5,1184.0,1426.0,2610.0,0.0,2.0,1.0,5,11.0,typ,1.0,4,builtin,fin,550.0,ta,208.0,303477.0,aggregate,1,0.0,0
62,230.0,rl,82.5,20062.0,1,low,inside,mod,clearcr,norm,1fam,1story,7.0,1977.0,hip,none,0.0,4,cblock,4,4,alq,1092.0,unf,328.0,1420.0,4,1483.0,0.0,1483.0,1.0,1.0,1.0,3,4.0,typ,2.0,3,attchd,rfn,690.0,ta,496.0,270000.0,wood,0,1.0,0
63,1295.0,rm,81.0,7308.0,0,lvl,corner,gtl,oldtown,artery,1fam,1.5fin,5.0,1920.0,gable,none,0.0,2,brktil,3,1,rec,360.0,unf,576.0,936.0,4,960.0,780.0,1740.0,0.0,1.0,0.0,5,6.0,typ,1.0,4,detchd,unf,225.0,fa,0.0,122250.0,wood,0,1.0,0
64,638.0,rl,70.0,8750.0,0,lvl,inside,gtl,names,norm,1fam,1story,5.0,1955.0,gable,none,0.0,3,cblock,3,1,rec,172.0,lwq,727.0,1382.0,4,1382.0,0.0,1382.0,0.0,1.0,0.0,4,6.0,typ,0.0,0,attchd,unf,350.0,ta,280.0,153000.0,aesbestos,0,0.0,0
65,2278.0,rl,70.0,8402.0,0,lvl,inside,gtl,mitchel,feedr,1fam,1story,5.0,2007.0,gable,none,0.0,3,pconc,4,1,alq,206.0,unf,914.0,1120.0,5,1120.0,0.0,1120.0,0.0,1.0,0.0,3,6.0,typ,0.0,0,none,none,0.0,none,0.0,147000.0,vinyl,1,0.0,0
66,2202.0,rl,63.0,4000.0,0,lvl,inside,gtl,crawfor,norm,1fam,2story,7.0,1930.0,gable,none,0.0,3,brktil,4,1,glq,246.0,unf,285.0,531.0,3,567.0,531.0,1098.0,1.0,1.0,0.0,3,5.0,typ,1.0,4,detchd,unf,216.0,ta,0.0,148500.0,wood,0,1.0,0
67,2833.0,rm,32.0,3363.0,0,lvl,inside,gtl,edwards,norm,twnhse,2story,7.0,2004.0,gable,stone,117.0,4,pconc,4,1,unf,0.0,unf,976.0,976.0,5,976.0,732.0,1708.0,0.0,2.0,0.0,4,7.0,maj1,0.0,0,detchd,unf,380.0,ta,0.0,130000.0,vinyl,1,0.0,0
68,1707.0,rl,94.0,13615.0,1,hls,corner,mod,nridght,norm,1fam,1story,9.0,2006.0,hip,stone,510.0,5,pconc,5,4,unf,0.0,unf,1802.0,1802.0,5,1802.0,0.0,1802.0,0.0,2.0,1.0,5,7.0,typ,1.0,4,attchd,fin,843.0,ta,158.0,372000.0,metal,1,0.0,0
69,2428.0,rl,43.0,3013.0,0,lvl,inside,gtl,blmngtn,norm,twnhse,1story,7.0,2005.0,gable,brkface,145.0,4,pconc,4,4,glq,16.0,unf,1346.0,1362.0,5,1506.0,0.0,1506.0,0.0,2.0,0.0,4,6.0,typ,1.0,4,attchd,fin,440.0,ta,142.0,213490.0,vinyl,1,0.0,0
70,242.0,rl,44.0,17485.0,2,lvl,inside,gtl,edwards,norm,1fam,1story,7.0,2009.0,gable,stone,96.0,4,pconc,4,4,glq,1346.0,unf,162.0,1508.0,5,1508.0,0.0,1508.0,1.0,1.0,0.0,4,5.0,typ,2.0,3,attchd,rfn,572.0,ta,0.0,308030.0,vinyl,0,1.0,0
71,1564.0,rl,74.0,23730.0,2,lvl,inside,gtl,mitchel,norm,1fam,1story,7.0,1996.0,gable,brkface,668.0,4,pconc,5,2,glq,700.0,unf,1140.0,1840.0,5,2032.0,0.0,2032.0,1.0,3.0,0.0,4,7.0,typ,0.0,0,attchd,fin,786.0,ta,0.0,300000.0,metal,1,1.0,0
72,2613.0,rl,79.0,8910.0,0,lvl,corner,gtl,names,norm,1fam,1story,6.0,1959.0,hip,none,0.0,3,cblock,3,2,alq,655.0,unf,0.0,655.0,5,1194.0,0.0,1194.0,0.0,1.0,0.0,3,6.0,typ,1.0,2,builtin,fin,539.0,ta,0.0,159500.0,brick,0,0.0,0
73,2832.0,rm,24.0,2522.0,0,lvl,inside,gtl,edwards,norm,twnhs,2story,7.0,2004.0,gable,stone,50.0,4,pconc,4,1,unf,0.0,unf,970.0,970.0,5,970.0,739.0,1709.0,0.0,2.0,0.0,4,7.0,maj1,0.0,0,detchd,unf,380.0,ta,0.0,137500.0,vinyl,1,0.0,0
74,2459.0,rl,73.0,8688.0,0,lvl,inside,gtl,somerst,norm,1fam,1story,7.0,2005.0,gable,brkface,228.0,4,pconc,4,3,unf,0.0,unf,1616.0,1616.0,5,1616.0,0.0,1616.0,0.0,2.0,0.0,4,7.0,typ,0.0,0,attchd,rfn,834.0,ta,208.0,232000.0,vinyl,1,0.0,0
75,1360.0,rm,60.0,6291.0,1,lvl,inside,gtl,idotrr,rrne,1fam,1story,6.0,1930.0,gable,none,0.0,4,brktil,3,1,unf,0.0,unf,768.0,768.0,3,768.0,0.0,768.0,0.0,1.0,0.0,3,4.0,typ,0.0,0,detchd,unf,440.0,ta,0.0,93850.0,aggregate,0,1.0,0
76,2723.0,rl,70.0,17529.0,0,lvl,inside,gtl,sawyer,norm,1fam,1story,5.0,1924.0,gable,stone,65.0,3,brktil,3,1,unf,0.0,unf,872.0,872.0,2,872.0,0.0,872.0,0.0,1.0,0.0,2,5.0,mod,1.0,4,detchd,unf,322.0,fa,0.0,105000.0,brick,0,1.0,0
77,1350.0,rm,60.0,6324.0,1,lvl,inside,gtl,brkside,feedr,1fam,1story,4.0,1927.0,gable,none,0.0,3,brktil,3,1,unf,0.0,unf,520.0,520.0,2,520.0,0.0,520.0,0.0,1.0,0.0,2,4.0,typ,0.0,0,detchd,unf,240.0,ta,49.0,68500.0,metal,0,1.0,0
